Date,Sales
2/1/2013,5530
3/1/2013,4327
4/1/2013,4486
5/1/2013,4997
7/1/2013,7176
8/1/2013,5580
9/1/2013,5471
10/1/2013,4892
11/1/2013,4881
12/1/2013,4952
14/1/2013,4717
15/1/2013,3900
16/1/2013,4008
17/1/2013,4044
18/1/2013,4127
19/1/2013,5182
21/1/2013,5394
22/1/2013,5720
23/1/2013,5578
24/1/2013,5195
25/1/2013,5586
26/1/2013,5598
28/1/2013,4055
29/1/2013,3725
30/1/2013,4601
31/1/2013,4709
1/2/2013,5633
2/2/2013,5970
4/2/2013,7032
5/2/2013,6049
6/2/2013,6140
7/2/2013,5499
8/2/2013,5681
9/2/2013,5370
11/2/2013,4409
12/2/2013,4015
13/2/2013,4252
14/2/2013,4241
15/2/2013,4809
16/2/2013,6154
18/2/2013,6407
19/2/2013,5386
20/2/2013,5660
21/2/2013,5261
22/2/2013,5000
23/2/2013,5237
25/2/2013,4038
26/2/2013,3794
27/2/2013,4558
28/2/2013,4676
1/3/2013,4611
2/3/2013,5350
4/3/2013,7675
5/3/2013,6300
6/3/2013,5973
7/3/2013,5637
8/3/2013,5853
9/3/2013,5578
11/3/2013,4949
12/3/2013,3853
13/3/2013,4341
14/3/2013,5108
15/3/2013,4925
16/3/2013,5003
18/3/2013,7072
19/3/2013,6563
20/3/2013,5598
21/3/2013,5179
22/3/2013,5506
23/3/2013,5603
25/3/2013,6729
26/3/2013,6686
27/3/2013,6660
28/3/2013,7285
30/3/2013,7132
2/4/2013,5484
3/4/2013,4625
4/4/2013,4293
5/4/2013,4390
6/4/2013,5075
8/4/2013,6046
9/4/2013,5514
10/4/2013,4903
11/4/2013,4366
12/4/2013,5263
13/4/2013,4773
15/4/2013,3941
16/4/2013,3357
17/4/2013,3649
18/4/2013,2952
19/4/2013,4303
20/4/2013,4350
22/4/2013,5672
23/4/2013,4492
24/4/2013,4309
25/4/2013,3939
26/4/2013,4841
27/4/2013,5726
29/4/2013,5821
30/4/2013,5925
2/5/2013,6486
3/5/2013,6027
4/5/2013,5912
6/5/2013,4568
7/5/2013,4624
8/5/2013,5230
10/5/2013,5409
11/5/2013,5064
13/5/2013,6106
14/5/2013,5083
15/5/2013,4790
16/5/2013,4448
17/5/2013,4856
18/5/2013,4413
21/5/2013,4789
22/5/2013,3559
23/5/2013,4030
24/5/2013,4232
25/5/2013,4408
27/5/2013,5519
28/5/2013,4995
29/5/2013,5784
31/5/2013,7893
1/6/2013,5693
3/6/2013,5422
4/6/2013,5220
5/6/2013,5012
6/6/2013,4881
7/6/2013,4315
8/6/2013,4262
10/6/2013,4291
11/6/2013,3784
12/6/2013,3563
13/6/2013,3661
14/6/2013,4150
15/6/2013,4766
17/6/2013,5337
18/6/2013,4633
19/6/2013,4180
20/6/2013,5011
21/6/2013,5173
22/6/2013,4341
24/6/2013,3549
25/6/2013,4536
26/6/2013,3827
27/6/2013,3593
28/6/2013,4407
29/6/2013,5804
1/7/2013,5614
2/7/2013,5868
3/7/2013,5875
4/7/2013,5701
5/7/2013,4986
6/7/2013,4090
8/7/2013,4475
9/7/2013,4047
10/7/2013,3963
11/7/2013,4053
12/7/2013,4134
13/7/2013,4015
15/7/2013,6377
16/7/2013,5643
17/7/2013,4946
18/7/2013,4904
19/7/2013,4275
20/7/2013,4421
22/7/2013,4149
23/7/2013,3937
24/7/2013,3849
25/7/2013,3502
26/7/2013,4221
27/7/2013,3352
29/7/2013,6290
30/7/2013,5773
31/7/2013,5572
1/8/2013,4994
2/8/2013,4494
3/8/2013,4461
5/8/2013,4086
6/8/2013,3582
7/8/2013,4143
8/8/2013,3680
9/8/2013,3257
10/8/2013,3768
12/8/2013,5326
13/8/2013,5299
14/8/2013,4724
15/8/2013,4575
16/8/2013,4552
17/8/2013,4078
19/8/2013,3954
20/8/2013,3492
21/8/2013,3096
22/8/2013,3703
23/8/2013,3493
24/8/2013,4752
26/8/2013,5482
27/8/2013,5156
28/8/2013,4583
29/8/2013,4804
30/8/2013,5469
31/8/2013,5317
2/9/2013,4195
3/9/2013,3928
4/9/2013,3343
5/9/2013,3883
6/9/2013,3836
7/9/2013,4663
9/9/2013,5893
10/9/2013,5403
11/9/2013,5103
12/9/2013,5079
13/9/2013,5187
14/9/2013,4663
16/9/2013,4249
17/9/2013,3685
18/9/2013,3946
19/9/2013,3717
20/9/2013,3516
21/9/2013,3909
23/9/2013,4770
24/9/2013,4274
25/9/2013,4212
26/9/2013,4481
27/9/2013,4669
28/9/2013,4175
30/9/2013,4088
1/10/2013,4178
2/10/2013,4001
4/10/2013,5447
5/10/2013,5352
7/10/2013,6004
8/10/2013,5452
9/10/2013,4957
10/10/2013,5286
11/10/2013,5896
12/10/2013,4954
14/10/2013,3773
15/10/2013,3355
16/10/2013,3383
17/10/2013,3223
18/10/2013,3566
19/10/2013,3667
21/10/2013,5055
22/10/2013,4068
23/10/2013,4612
24/10/2013,4044
25/10/2013,4573
26/10/2013,4347
28/10/2013,3557
29/10/2013,3737
